,Store Number,Ownership Type,Continent,Country,City,State/Province,Longitude,Latitude,Status
0,47370-257954,Licensed,Europe,Andorra,Andorra la Vella,7,1.53,42.51,Closed
1,22331-212325,Licensed,Asia,United Arab Emirates,Ajman,AJ,55.47,25.42,Active
2,47089-256771,Licensed,Asia,United Arab Emirates,Ajman,AJ,55.47,25.39,Active
3,22126-218024,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.38,24.48,Active
4,17127-178586,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.54,24.51,Active
5,17688-182164,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.49,24.4,Active
6,18182-182165,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.49,24.4,Active
7,23359-229184,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.61,24.46,Closed
8,30781-99022,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.69,24.19,Active
9,20423-205465,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.38,24.48,Active
10,20424-205466,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.34,24.47,Active
11,1579-122101,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.49,Active
12,32595-122105,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.69,24.19,Closed
13,24191-236428,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.7,24.3,Active
14,24604-238367,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.6,24.48,Active
15,32029-110804,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.74,24.21,Active
16,29560-238539,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.34,24.47,Active
17,32239-100001,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.35,24.47,Active
18,31719-103601,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.47,Active
19,20008-200004,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.38,24.48,Active
20,32767-131566,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.51,24.42,Active
21,3886-141408,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.35,24.46,Active
22,29539-254261,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.66,24.41,Active
23,28809-251348,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.41,24.5,Active
24,34262-62540,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.32,24.47,Active
25,3178-141407,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.57,24.35,Active
26,34260-17877,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.62,24.21,Active
27,21605-213406,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.44,24.54,Active
28,1935-141406,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.34,24.47,Active
29,20113-195784,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.94,24.9,Active
30,34227-33225,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.5,Active
31,17361-180588,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.6,24.4,Active
32,15938-165686,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.77,24.48,Active
33,16453-170544,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.44,24.43,Active
34,24085-235545,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.61,24.46,Active
35,24932-239347,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.39,24.46,Active
36,18469-188844,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.39,24.43,Active
37,28810-251346,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.66,24.41,Active
38,1897-120044,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,55.53,23.85,Active
39,20772-207664,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.47,Active
40,2176-143834,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.52,Active
41,18530-169885,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.48,Closed
42,24931-239348,Licensed,Asia,United Arab Emirates,Abu Dhabi,AZ,54.37,24.47,Active
43,29306-253248,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.4,24.12,Active
44,17291-169884,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.29,25.24,Active
45,32640-131563,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.65,24.19,Active
46,34332-97778,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.73,24.24,Active
47,16257-166109,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.39,25.1,Active
48,1926-141411,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.81,24.16,Active
49,24510-238164,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.69,24.21,Active
50,17788-183965,Licensed,Asia,United Arab Emirates,Al Ain,AZ,55.8,24.13,Active
51,22963-226644,Licensed,Asia,United Arab Emirates,Abu Dhabi,DU,54.47,24.41,Active
52,23197-228761,Licensed,Asia,United Arab Emirates,Abu Dhabi,DU,54.63,24.29,Closed
53,23549-231166,Licensed,Asia,United Arab Emirates,Abu Dhabi,DU,54.69,24.39,Active
54,15060-156348,Licensed,Asia,United Arab Emirates,Al Barsha,DU,55.23,25.05,Active
55,34291-80114,Licensed,Asia,United Arab Emirates,Dubai,DU,55.23,25.17,Active
56,27072-246650,Licensed,Asia,United Arab Emirates,Dubai,DU,55.6,24.78,Active
57,18751-188904,Licensed,Asia,United Arab Emirates,Dubai,DU,55.35,25.25,Closed
58,18857-187024,Licensed,Asia,United Arab Emirates,Dubai,DU,55.31,25.27,Active
59,28908-251804,Licensed,Asia,United Arab Emirates,Dubai,DU,55.16,25.1,Active
60,32250-107405,Licensed,Asia,United Arab Emirates,Dubai,DU,55.27,25.19,Closed
61,34211-17922,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.21,Active
62,34315-87671,Licensed,Asia,United Arab Emirates,Dubai,DU,55.15,25.08,Active
63,23213-228760,Licensed,Asia,United Arab Emirates,Dubai,DU,55.35,25.25,Active
64,30780-154130,Licensed,Asia,United Arab Emirates,Dubai,DU,55.2,25.12,Active
65,25406-240945,Licensed,Asia,United Arab Emirates,Dubai,DU,55.4,25.23,Active
66,32329-111864,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.19,Active
67,32741-141410,Licensed,Asia,United Arab Emirates,Dubai,DU,55.12,25.13,Active
68,17787-183964,Licensed,Asia,United Arab Emirates,Dubai,DU,55.14,25.08,Active
69,3183-143827,Licensed,Asia,United Arab Emirates,Dubai,DU,55.24,25.17,Active
70,32571-107873,Licensed,Asia,United Arab Emirates,Dubai,DU,55.13,25.07,Active
71,23973-234507,Licensed,Asia,United Arab Emirates,Dubai,DU,55.31,25.27,Active
72,32144-123448,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.19,Active
73,34219-17920,Licensed,Asia,United Arab Emirates,Dubai,DU,55.32,25.27,Active
74,32476-106835,Licensed,Asia,United Arab Emirates,Dubai,DU,55.13,25.07,Active
75,7073-204444,Licensed,Asia,United Arab Emirates,Dubai,DU,55.12,25.13,Active
76,18026-187444,Licensed,Asia,United Arab Emirates,Dubai,DU,55.23,25.19,Active
77,34284-65720,Licensed,Asia,United Arab Emirates,Dubai,DU,55.25,25.22,Active
78,32117-116426,Licensed,Asia,United Arab Emirates,Dubai,DU,55.17,25.1,Active
79,20347-204885,Licensed,Asia,United Arab Emirates,Dubai,DU,55.31,25.27,Active
80,49595-270099,Licensed,Asia,United Arab Emirates,Dubai,DU,55.33,25.26,Active
81,32292-111724,Licensed,Asia,United Arab Emirates,Dubai,DU,55.27,25.2,Active
82,4141-147544,Licensed,Asia,United Arab Emirates,Dubai,DU,55.24,25.05,Active
83,21600-213424,Licensed,Asia,United Arab Emirates,Dubai,DU,55.35,25.27,Active
84,47514-254743,Licensed,Asia,United Arab Emirates,Dubai,DU,55.19,25.11,Closed
85,26471-239345,Licensed,Asia,United Arab Emirates,Dubai,DU,55.19,25.03,Active
86,25879-242844,Licensed,Asia,United Arab Emirates,Dubai,DU,55.42,25.23,Active
87,6137-116711,Licensed,Asia,United Arab Emirates,Dubai,DU,55.24,25.2,Closed
88,3173-122109,Licensed,Asia,United Arab Emirates,Dubai,DU,55.46,25.26,Active
89,23212-228759,Licensed,Asia,United Arab Emirates,Dubai,DU,55.35,25.25,Active
90,34335-97976,Licensed,Asia,United Arab Emirates,Dubai,DU,55.12,25.04,Active
91,1801-136467,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.2,Active
92,31199-104340,Licensed,Asia,United Arab Emirates,Dubai,DU,55.33,25.25,Active
93,31853-109684,Licensed,Asia,United Arab Emirates,Dubai,DU,55.0,24.92,Active
94,28811-251347,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.24,Closed
95,6106-148051,Licensed,Asia,United Arab Emirates,Dubai,DU,55.42,25.13,Active
96,34317-95971,Licensed,Asia,United Arab Emirates,Dubai,DU,55.19,25.13,Active
97,32269-114734,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.21,Active
98,34337-97975,Licensed,Asia,United Arab Emirates,Dubai,DU,55.12,25.05,Active
99,4143-147546,Licensed,Asia,United Arab Emirates,Dubai,DU,55.41,25.22,Active
100,30954-99024,Licensed,Asia,United Arab Emirates,Dubai,DU,55.33,25.23,Active
101,1609-136468,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.2,Closed
102,34249-62099,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.25,Active
103,23863-233552,Licensed,Asia,United Arab Emirates,Dubai,DU,55.44,25.04,Closed
104,31338-103600,Licensed,Asia,United Arab Emirates,Dubai,DU,55.43,25.23,Active
105,34209-17918,Licensed,Asia,United Arab Emirates,Dubai,DU,55.33,25.25,Closed
106,34210-16835,Licensed,Asia,United Arab Emirates,Dubai,DU,55.26,25.23,Closed
107,28258-250593,Licensed,Asia,United Arab Emirates,Dubai,DU,55.27,25.23,Active
108,32523-106836,Licensed,Asia,United Arab Emirates,Dubai,DU,55.13,25.07,Active
109,24927-239346,Licensed,Asia,United Arab Emirates,Dubai,DU,55.31,25.27,Active
110,32328-123449,Licensed,Asia,United Arab Emirates,Dubai,DU,55.28,25.22,Active
111,34292-76574,Licensed,Asia,United Arab Emirates,Dubai,DU,55.09,24.99,Closed
112,26743-245288,Licensed,Asia,United Arab Emirates,Dubai,DU,55.2,25.12,Active
113,26048-243344,Licensed,Asia,United Arab Emirates,Dubai,DU,55.2,25.12,Active
114,32714-122107,Licensed,Asia,United Arab Emirates,Dubai,DU,55.31,25.23,Active
115,1968-136466,Licensed,Asia,United Arab Emirates,Dubai,DU,55.14,25.08,Active
116,27950-248318,Licensed,Asia,United Arab Emirates,Dubai,DU,55.31,25.27,Active
117,32425-106837,Licensed,Asia,United Arab Emirates,Dubai,DU,55.14,25.08,Closed
118,32457-106838,Licensed,Asia,United Arab Emirates,Dubai,DU,55.14,25.08,Active
119,48097-261445,Licensed,Asia,United Arab Emirates,Dubai,DU,55.16,25.11,Active
120,1577-123446,Licensed,Asia,United Arab Emirates,Dubai,DU,55.35,25.25,Closed
121,3169-123447,Licensed,Asia,United Arab Emirates,Dubai,DU,55.35,25.25,Active
122,34336-97974,Licensed,Asia,United Arab Emirates,Dubai,DU,55.12,25.04,Active
123,48522-263630,Licensed,Asia,United Arab Emirates,Dubai,DU,55.0,24.54,Closed
124,24139-236004,Licensed,Asia,United Arab Emirates,Dubai,DU,55.27,25.2,Active
125,34320-74020,Licensed,Asia,United Arab Emirates,Dubai,DU,55.3,25.25,Active
126,15976-165685,Licensed,Asia,United Arab Emirates,Dubai,DU,55.21,25.1,Active
127,16528-168726,Licensed,Asia,United Arab Emirates,Dubai,DU,55.4,25.13,Active
128,22125-218025,Licensed,Asia,United Arab Emirates,Dubai,DU,55.38,25.11,Active
129,18837-193244,Licensed,Asia,United Arab Emirates,Dubai,DU,55.33,25.29,Active
130,31002-101076,Licensed,Asia,United Arab Emirates,Dubai,DU,55.17,25.05,Active
131,34346-97779,Licensed,Asia,United Arab Emirates,Dubai,DU,55.16,25.1,Active
132,48396-262946,Licensed,Asia,United Arab Emirates,Dubai,DU,55.16,25.11,Active
133,17045-172945,Licensed,Asia,United Arab Emirates,Fujairah,FU,56.3,25.13,Active
134,28071-249840,Licensed,Asia,United Arab Emirates,Fujairah,FU,56.33,25.12,Closed
135,1911-138604,Licensed,Asia,United Arab Emirates,Ras Al Khaimah,RK,55.78,25.68,Active
136,34228-219605,Licensed,Asia,United Arab Emirates,Ras Al Khaimah,RK,55.97,25.79,Active
137,3172-113584,Licensed,Asia,United Arab Emirates,Ras Al Khaimah,RK,55.92,25.75,Active
138,17964-183966,Licensed,Asia,United Arab Emirates,Sharjah,SH,55.39,25.35,Active
139,34252-54259,Licensed,Asia,United Arab Emirates,Sharjah,SH,55.4,25.35,Active
140,34253-62541,Licensed,Asia,United Arab Emirates,Sharjah,SH,55.38,25.33,Active
141,1359-138434,Licensed,Asia,United Arab Emirates,Sharjah,SH,55.38,25.32,Active
142,34259-54260,Licensed,Asia,United Arab Emirates,Sharjah,SH,55.37,25.3,Active
143,34217-27108,Licensed,Asia,United Arab Emirates,Sharjah,SH,55.48,25.3,Active
144,22697-223524,Licensed,Asia,United Arab Emirates,Umm Al Quwain,UQ,55.54,25.53,Active
145,1278-139526,Licensed,South America,Argentina,Avellaneda,B,-58.37,-34.68,Active
146,16436-159304,Licensed,South America,Argentina,Boulogne,B,-57.87,-34.88,Active
147,47294-254164,Licensed,South America,Argentina,Buenos Aires,B,-58.44,-34.58,Active
148,25823-198067,Licensed,South America,Argentina,Buenos Aires,B,-58.7,-34.53,Active
149,15008-157047,Licensed,South America,Argentina,Buenos Aires,B,-58.51,-34.47,Active
150,26540-219150,Licensed,South America,Argentina,Buenos Aires,B,-58.5,-34.49,Active
151,47751-259030,Licensed,South America,Argentina,Caba,B,-58.4,-34.59,Active
152,47750-259026,Licensed,South America,Argentina,Caba,B,-58.38,-34.6,Active
153,16898-173464,Licensed,South America,Argentina,Ezeiza,B,-58.53,-34.8,Closed
154,8091-151284,Licensed,South America,Argentina,Martinez,B,-58.49,-34.48,Closed
155,1271-136936,Licensed,South America,Argentina,Martinez,B,-58.52,-34.51,Active
156,8895-151508,Licensed,South America,Argentina,Moron,B,-58.65,-34.63,Active
157,15006-157046,Licensed,South America,Argentina,Pilar,B,-58.92,-34.45,Active
158,15219-158845,Licensed,South America,Argentina,Pilar,B,-60.22,-33.39,Active
159,47724-230145,Licensed,South America,Argentina,Pilar,B,-58.86,-34.46,Active
160,15474-156010,Licensed,South America,Argentina,Quilmes,B,-58.26,-34.72,Closed
161,16786-175824,Licensed,South America,Argentina,San Isidro,B,-58.55,-34.49,Active
162,16444-169428,Licensed,South America,Argentina,San Justo,B,-58.56,-34.69,Active
163,3632-142527,Licensed,South America,Argentina,Tigre,B,-58.66,-34.4,Active
164,3628-142530,Licensed,South America,Argentina,Tortuguitas,B,-58.73,-34.45,Active
165,15478-161685,Licensed,South America,Argentina,Vicente Lopez,B,-58.47,-34.53,Active
166,26464-238685,Licensed,South America,Argentina,Buenos Aires,C,-58.41,-34.6,Active
167,7123-150606,Licensed,South America,Argentina,Buenos Aires,C,-58.44,-34.57,Active
168,26539-230148,Licensed,South America,Argentina,Buenos Aires,C,-58.4,-34.6,Active
169,25324-219149,Licensed,South America,Argentina,Buenos Aires,C,-58.44,-34.58,Active
170,13054-156007,Licensed,South America,Argentina,Buenos Aires,C,-58.47,-34.55,Active
171,15654-164107,Licensed,South America,Argentina,Buenos Aires,C,-58.46,-34.56,Active
172,15329-160024,Licensed,South America,Argentina,Buenos Aires,C,-58.39,-34.6,Active
173,26461-232984,Licensed,South America,Argentina,Buenos Aires,C,-58.38,-34.6,Active
174,16744-173424,Licensed,South America,Argentina,Buenos Aires,C,-58.42,-34.57,Active
175,26535-240364,Licensed,South America,Argentina,Buenos Aires,C,-58.37,-34.61,Active
176,47283-246923,Licensed,South America,Argentina,Buenos Aires,C,-58.46,-34.56,Active
177,1290-142064,Licensed,South America,Argentina,Buenos Aires,C,-58.43,-34.59,Active
178,49438-156016,Joint Venture,South America,Argentina,Buenos Aires,C,-58.42,-34.57,Active
179,9126-151506,Licensed,South America,Argentina,Buenos Aires,C,-58.38,-34.59,Active
180,20313-198064,Licensed,South America,Argentina,Buenos Aires,C,-58.43,-34.58,Active
181,16600-173444,Licensed,South America,Argentina,Buenos Aires,C,-58.38,-34.61,Active
182,1270-136935,Licensed,South America,Argentina,Buenos Aires,C,-58.44,-34.57,Active
183,16743-175224,Licensed,South America,Argentina,Buenos Aires,C,-58.39,-34.6,Active
184,1282-139530,Licensed,South America,Argentina,Buenos Aires,C,-58.38,-34.6,Active
185,1273-137353,Licensed,South America,Argentina,Buenos Aires,C,-58.36,-34.61,Closed
186,3525-142748,Licensed,South America,Argentina,Buenos Aires,C,-58.49,-34.55,Active
187,1284-140707,Licensed,South America,Argentina,Buenos Aires,C,-58.46,-34.57,Active
188,17802-185946,Licensed,South America,Argentina,Buenos Aires,C,-58.37,-34.6,Active
189,26459-238684,Licensed,South America,Argentina,Buenos Aires,C,-58.38,-34.6,Active
190,32499-133544,Licensed,South America,Argentina,Buenos Aires,C,-58.41,-34.59,Closed
191,1277-139525,Licensed,South America,Argentina,Buenos Aires,C,-58.39,-34.6,Active
192,9199-152184,Licensed,South America,Argentina,Buenos Aires,C,-58.4,-34.58,Active
193,3803-153444,Licensed,South America,Argentina,Buenos Aires,C,-58.36,-34.6,Active
194,29536-246926,Licensed,South America,Argentina,Buenos Aires,C,-58.45,-34.56,Active
195,16370-170264,Licensed,South America,Argentina,Buenos Aires,C,-58.38,-34.61,Closed
196,1281-139529,Licensed,South America,Argentina,Buenos Aires,C,-58.37,-34.6,Active
197,19948-198065,Licensed,South America,Argentina,Buenos Aires,C,-58.38,-34.61,Active
198,15142-156008,Licensed,South America,Argentina,Buenos Aires,C,-58.37,-34.61,Active
199,24877-228684,Licensed,South America,Argentina,Buenos Aires,C,-58.39,-34.59,Active
200,19944-202505,Licensed,South America,Argentina,Buenos Aires,C,-58.38,-34.62,Active
201,15005-157045,Licensed,South America,Argentina,Buenos Aires,C,-58.43,-34.62,Active
202,6177-149892,Licensed,South America,Argentina,Buenos Aires,C,-58.43,-34.62,Active
203,16479-169427,Licensed,South America,Argentina,Buenos Aires,C,-58.39,-34.6,Active
204,15509-158844,Licensed,South America,Argentina,Buenos Aires,C,-58.43,-34.58,Active
205,17243-180104,Licensed,South America,Argentina,Buenos Aires,C,-58.52,-34.61,Active
206,7027-149890,Licensed,South America,Argentina,Buenos Aires,C,-58.41,-34.58,Active
207,24640-221027,Licensed,South America,Argentina,Buenos Aires,C,-58.47,-34.54,Closed
208,1279-139527,Licensed,South America,Argentina,Buenos Aires,C,-58.41,-34.6,Active
209,15653-164104,Licensed,South America,Argentina,Buenos Aires,C,-58.39,-34.6,Active
210,26538-230144,Licensed,South America,Argentina,Buenos Aires,C,-58.37,-34.6,Active
211,20619-198066,Licensed,South America,Argentina,Buenos Aires,C,-58.37,-34.6,Active
212,7152-150785,Licensed,South America,Argentina,Buenos Aires,C,-58.38,-34.62,Active
213,15098-156012,Licensed,South America,Argentina,Buenos Aires,C,-58.57,-34.64,Active
214,15459-161686,Licensed,South America,Argentina,Buenos Aires,C,-58.37,-34.62,Active
215,15059-157325,Licensed,South America,Argentina,Buenos Aires,C,-58.41,-34.59,Active
216,1285-140708,Licensed,South America,Argentina,Buenos Aires,C,-58.37,-34.61,Active
217,15058-157324,Licensed,South America,Argentina,Buenos Aires,C,-58.4,-34.58,Active
218,16237-169426,Licensed,South America,Argentina,Buenos Aires,C,-58.39,-34.59,Active
219,8177-151507,Licensed,South America,Argentina,Buenos Aires,C,-58.37,-34.6,Active
220,3629-142529,Licensed,South America,Argentina,Buenos Aires,C,-58.41,-34.58,Active
221,23695-219147,Licensed,South America,Argentina,Buenos Aires,C,-58.38,-34.6,Active
222,16690-174425,Licensed,South America,Argentina,Buenos Aires,C,-58.44,-34.57,Active
223,24076-221025,Licensed,South America,Argentina,Buenos Aires,C,-58.4,-34.6,Active
224,15672-164105,Licensed,South America,Argentina,Buenos Aires,C,-58.37,-34.61,Active
225,3633-142525,Licensed,South America,Argentina,Buenos Aires,C,-58.46,-34.54,Closed
226,25325-232985,Licensed,South America,Argentina,Buenos Aires,C,-58.41,-34.59,Active
227,19945-198044,Licensed,South America,Argentina,Buenos Aires,C,-58.41,-34.6,Active
228,15458-161684,Licensed,South America,Argentina,Buenos Aires,C,-58.48,-34.58,Active
229,3554-153291,Licensed,South America,Argentina,Buenos Aires,C,-58.4,-34.59,Active
230,15150-156011,Licensed,South America,Argentina,Buenos Aires,C,-58.4,-34.77,Closed
231,4034-136938,Licensed,South America,Argentina,Buenos Aires,C,-58.49,-34.55,Active
232,8090-154364,Licensed,South America,Argentina,Buenos Aires,C,-58.38,-34.6,Active
233,24876-231226,Licensed,South America,Argentina,Buenos Aires,C,-58.44,-34.6,Active
234,26472-239830,Licensed,South America,Argentina,Buenos Aires,C,-58.39,-34.6,Active
235,9125-149965,Licensed,South America,Argentina,Buenos Aires,C,-58.44,-34.57,Closed
236,21445-212345,Licensed,South America,Argentina,Caba,C,-58.44,-34.62,Active
237,20331-204904,Licensed,South America,Argentina,Caba,C,-58.45,-34.55,Active
238,21525-212344,Licensed,South America,Argentina,Caba,C,-58.37,-34.6,Active
239,47742-259028,Licensed,South America,Argentina,Mendoza,M,-68.84,-32.89,Closed
240,47803-259029,Licensed,South America,Argentina,Mendoza,M,-68.84,-32.88,Closed
241,17240-171905,Licensed,South America,Argentina,Mendoza,M,-68.78,-32.9,Closed
242,47752-259027,Licensed,South America,Argentina,Mendoza,M,-68.84,-32.89,Closed
243,17241-171904,Licensed,South America,Argentina,Mendoza,M,-68.83,-32.92,Closed
244,15673-163045,Licensed,South America,Argentina,Rosario,S,-60.65,-32.94,Closed
245,15651-163044,Licensed,South America,Argentina,Rosario,S,-60.67,-32.93,Closed
246,47305-254784,Licensed,South America,Argentina,Santa Fe,S,-60.7,-32.96,Closed
247,47235-248696,Licensed,South America,Argentina,Cordoba,X,-64.31,-31.32,Closed
248,47289-254786,Licensed,South America,Argentina,Cordoba,X,-64.2,-31.44,Closed
249,16161-168806,Licensed,South America,Argentina,Cordoba,X,-64.19,-31.41,Closed
250,22131-168807,Licensed,South America,Argentina,Cordoba,X,-64.24,-31.36,Closed
251,16290-163049,Licensed,South America,Argentina,Cordoba,X,-64.2,-31.41,Closed
252,16302-163050,Licensed,South America,Argentina,Cordoba,X,-64.2,-31.44,Closed
253,21998-216824,Company Owned,Europe,Austria,Vosendorf,3,16.32,48.11,Active
254,19939-196684,Company Owned,Europe,Austria,Salzburg,5,13.01,47.82,Closed
255,21799-140452,Company Owned,Europe,Austria,Salzburg,5,13.04,47.8,Closed
256,19767-199325,Company Owned,Europe,Austria,Salzburg,5,13.05,47.81,Closed
257,25921-242984,Licensed,Europe,Austria,Schwechat,9,16.56,48.13,Active
258,40206-77760,Company Owned,Europe,Austria,Wien,9,16.35,48.2,Active
259,40202-69420,Company Owned,Europe,Austria,Wien,9,16.39,48.24,Active
260,23739-161864,Company Owned,Europe,Austria,Wien,9,16.38,48.18,Active
261,15134-158024,Company Owned,Europe,Austria,Wien,9,16.37,48.21,Active
262,40213-99693,Company Owned,Europe,Austria,Wien,9,16.37,48.21,Active
263,40212-96779,Company Owned,Europe,Austria,Wien,9,16.35,48.22,Active
264,40204-76700,Company Owned,Europe,Austria,Wien,9,16.36,48.2,Active
265,31077-103980,Company Owned,Europe,Austria,Wien,9,16.38,48.21,Active
266,32495-133884,Company Owned,Europe,Austria,Wien,9,16.39,48.21,Active
267,13074-150484,Company Owned,Europe,Austria,Wien,9,16.43,48.24,Active
268,19247-200084,Company Owned,Europe,Austria,Wien,9,16.34,48.2,Active
269,17786-183845,Company Owned,Europe,Austria,Wien,9,16.36,48.21,Active
270,32492-120288,Company Owned,Europe,Austria,Wien,9,16.37,48.2,Active
271,49778-271255,Licensed,Oceania,Australia,Manly,NSW,151.29,-33.8,Closed
272,25291-240407,Licensed,Oceania,Australia,Mt Druitt,NSW,150.82,-33.77,Closed
273,48100-261428,Licensed,Oceania,Australia,Parramatta,NSW,151.0,-33.82,Closed
274,25277-240391,Licensed,Oceania,Australia,Sydney,NSW,151.21,-33.88,Closed
275,25290-240408,Licensed,Oceania,Australia,Sydney,NSW,151.21,-33.87,Closed
276,25296-240405,Licensed,Oceania,Australia,Sydney,NSW,151.21,-33.87,Closed
277,25276-240390,Licensed,Oceania,Australia,Sydney,NSW,151.21,-33.87,Closed
278,25279-240396,Licensed,Oceania,Australia,Sydney,NSW,151.21,-33.88,Closed
279,25299-240395,Licensed,Oceania,Australia,Westmead,NSW,150.99,-33.8,Closed
280,25282-240406,Licensed,Oceania,Australia,Brisbane,QLD,153.03,-27.47,Closed
281,25278-240393,Licensed,Oceania,Australia,Brisbane,QLD,153.02,-27.47,Closed
282,25288-240410,Licensed,Oceania,Australia,Broadbeach,QLD,153.43,-28.03,Closed
283,25287-240411,Licensed,Oceania,Australia,Chermside,QLD,153.03,-27.39,Closed
284,25292-240421,Licensed,Oceania,Australia,Gold Coast,QLD,153.43,-28.01,Closed
285,25285-240413,Licensed,Oceania,Australia,Surfers Paradise,QLD,153.43,-28.02,Closed
286,24303-236999,Licensed,Oceania,Australia,Upper Mt Gravatt,QLD,153.09,-27.54,Closed
287,25295-240418,Licensed,Oceania,Australia,Wooloongabba,QLD,153.03,-27.5,Closed
288,25294-240419,Licensed,Oceania,Australia,Melbourne,VIC,144.97,-37.81,Closed
289,25293-240420,Licensed,Oceania,Australia,Melbourne,VIC,144.97,-37.82,Closed
290,25286-240412,Licensed,Oceania,Australia,Melbourne,VIC,144.95,-37.82,Closed
291,25283-240416,Licensed,Oceania,Australia,Melbourne,VIC,144.97,-37.81,Closed
292,49790-270953,Licensed,Oceania,Australia,Melbourne,VIC,144.96,-37.81,Closed
293,15476-160864,Licensed,North America,Aruba,Noord,AW,-70.04,12.57,Active
294,3635-146029,Licensed,North America,Aruba,Oranjestad,AW,-70.04,12.52,Active
295,3634-146030,Licensed,North America,Aruba,Oranjestad,AW,-70.04,12.52,Active
296,28752-250830,Licensed,Asia,Azerbaijan,Baku,BA,49.85,40.38,Closed
297,25822-240094,Licensed,Asia,Azerbaijan,Baku,BA,49.86,40.38,Closed
298,28135-250266,Licensed,Asia,Azerbaijan,Narimonov,BA,49.85,40.4,Closed
299,29399-253484,Licensed,Asia,Azerbaijan,Baku,SAB,48.9,39.95,Closed
300,48462-260556,Licensed,Europe,Belgium,Brussels,BE,4.38,50.84,Active
301,26401-240667,Licensed,Europe,Belgium,Brussels,BE,4.35,50.83,Active
302,26399-240668,Licensed,Europe,Belgium,Brussels,BE,4.33,50.83,Active
303,48459-260557,Licensed,Europe,Belgium,Brussels,BE,4.41,50.84,Active
304,18497-185504,Licensed,Europe,Belgium,Antwerp,VAN,4.4,51.22,Active
305,20374-205052,Licensed,Europe,Belgium,Brussels,VBR,4.36,50.84,Active
306,18478-186824,Licensed,Europe,Belgium,Brussels,VBR,4.36,50.85,Closed
307,6104-148664,Licensed,Europe,Belgium,Antwerp,VLG,4.42,51.22,Active
308,17990-180284,Licensed,Europe,Belgium,Brugges,VLG,3.19,51.27,Closed
309,15272-158067,Licensed,Europe,Belgium,Brussels,VLG,4.36,50.85,Active
